Year,Cab,Engine,Wheel Base,Drive Train,FGAWR,GVWR,Rear Wheel,Bed,Trim Pkg,Headlamp,Plow Model,Subframe,Mount Kit,Center Member,Note 1,Note 2,Note 3,Note 4,Note 5,Note 6,Note 7,Note 8,Note 9,Note 10
1983,*,*,*,4X4,*,*,*,*,*,HB2 - 99100789,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1983,*,*,*,4X4,*,*,*,*,*,HB2 - 99100789,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1983,*,*,*,4X4,*,*,*,*,*,2B/2D - 99100789,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1983,*,*,*,4X4,*,*,*,*,*,2B/2D - 99100789,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1984,*,*,*,4X4,*,*,*,*,*,HB1 - 99100791,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1984,*,*,*,4X4,*,*,*,*,*,HB1 - 99100791,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1984,*,*,*,4X4,*,*,*,*,*,HB2 - 99100789,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1984,*,*,*,4X4,*,*,*,*,*,HB2 - 99100789,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1984,*,*,*,4X4,*,*,*,*,*,2B/2D - 99100789,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1984,*,*,*,4X4,*,*,*,*,*,2B/2D - 99100789,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1985,*,*,*,4X4,*,*,*,*,*,HB1 - 99100791,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1985,*,*,*,4X4,*,*,*,*,*,HB1 - 99100791,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1985,*,*,*,4X4,*,*,*,*,*,HB2 - 99100789,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1985,*,*,*,4X4,*,*,*,*,*,HB2 - 99100789,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1985,*,*,*,4X4,*,*,*,*,*,2B/2D - 99100789,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1985,*,*,*,4X4,*,*,*,*,*,2B/2D - 99100789,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1986,*,*,*,4X4,*,*,*,*,*,HB1 - 99100791,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1986,*,*,*,4X4,*,*,*,*,*,HB1 - 99100791,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1986,*,*,*,4X4,*,*,*,*,*,HB2 - 99100789,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1986,*,*,*,4X4,*,*,*,*,*,HB2 - 99100789,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1986,*,*,*,4X4,*,*,*,*,*,2B/2D - 99100789,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1986,*,*,*,4X4,*,*,*,*,*,2B/2D - 99100789,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1987,*,*,*,4X4,*,*,*,*,*,HB1 - 99100791,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1987,*,*,*,4X4,*,*,*,*,*,HB1 - 99100791,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1987,*,*,*,4X4,*,*,*,*,*,HB2 - 99100789,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1987,*,*,*,4X4,*,*,*,*,*,HB2 - 99100789,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1987,*,*,*,4X4,*,*,*,*,*,2B/2D - 99100789,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1987,*,*,*,4X4,*,*,*,*,*,2B/2D - 99100789,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1988,*,*,*,4X4,*,*,*,*,*,HB1 - 99100791,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1988,*,*,*,4X4,*,*,*,*,*,HB1 - 99100791,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1988,*,*,*,4X4,*,*,*,*,*,HB2 - 99100789,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1988,*,*,*,4X4,*,*,*,*,*,HB2 - 99100789,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1988,*,*,*,4X4,*,*,*,*,*,2B/2D - 99100789,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1988,*,*,*,4X4,*,*,*,*,*,2B/2D - 99100789,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1989,*,*,*,4X4,*,*,*,*,*,HB1 - 99100791,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1989,*,*,*,4X4,*,*,*,*,*,HB1 - 99100791,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1989,*,*,*,4X4,*,*,*,*,*,HB2 - 99100789,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1989,*,*,*,4X4,*,*,*,*,*,HB2 - 99100789,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1989,*,*,*,4X4,*,*,*,*,*,2B/2D - 99100789,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1989,*,*,*,4X4,*,*,*,*,*,2B/2D - 99100789,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1990,*,*,*,4X4,*,*,*,*,*,HB1 - 99100791,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1990,*,*,*,4X4,*,*,*,*,*,HB1 - 99100791,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1990,*,*,*,4X4,*,*,*,*,*,HB2 - 99100789,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1990,*,*,*,4X4,*,*,*,*,*,HB2 - 99100789,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1990,*,*,*,4X4,*,*,*,*,*,2B/2D - 99100789,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1990,*,*,*,4X4,*,*,*,*,*,2B/2D - 99100789,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1991,*,*,*,4X4,*,*,*,*,*,HB1 - 99100791,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1991,*,*,*,4X4,*,*,*,*,*,HB1 - 99100791,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1991,*,*,*,4X4,*,*,*,*,*,HB2 - 99100789,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1991,*,*,*,4X4,*,*,*,*,*,HB2 - 99100789,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1991,*,*,*,4X4,*,*,*,*,*,2B/2D - 99100789,"29HD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1991,*,*,*,4X4,*,*,*,*,*,2B/2D - 99100789,"29THD-7'-6""",N/A,99100866,99100891,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1997,Regular,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26-7'-6""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,"Minimum Front GAWR of 3,600 lbs",,,,,,,,
1997,Regular,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26R-8'-0""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,"Minimum Front GAWR of 3,600 lbs",,,,,,,,
1997,Super,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26-7'-6""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,"Minimum Front GAWR of 3,900 lbs",,,,,,,,
1997,Super,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26R-8'-0""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,"Minimum Front GAWR of 3,900 lbs",,,,,,,,
1997,SuperCrew,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26-7'-6""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1997,SuperCrew,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26R-8'-0""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1998,Regular,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26-7'-6""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,"Minimum Front GAWR of 3,600 lbs",,,,,,,,
1998,Regular,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26R-8'-0""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,"Minimum Front GAWR of 3,600 lbs",,,,,,,,
1998,Super,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26-7'-6""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,"Minimum Front GAWR of 3,900 lbs",,,,,,,,
1998,Super,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26R-8'-0""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,"Minimum Front GAWR of 3,900 lbs",,,,,,,,
1998,SuperCrew,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26-7'-6""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1998,SuperCrew,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26R-8'-0""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1999,Regular,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26-7'-6""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,"Minimum Front GAWR of 3,600 lbs",,,,,,,,
1999,Regular,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26R-8'-0""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,"Minimum Front GAWR of 3,600 lbs",,,,,,,,
1999,Super,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26-7'-6""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,"Minimum Front GAWR of 3,900 lbs",,,,,,,,
1999,Super,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26R-8'-0""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,"Minimum Front GAWR of 3,900 lbs",,,,,,,,
1999,SuperCrew,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26-7'-6""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
1999,SuperCrew,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26R-8'-0""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2000,Regular,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26-7'-6""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,"Minimum Front GAWR of 3,600 lbs",,,,,,,,
2000,Regular,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26R-8'-0""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,"Minimum Front GAWR of 3,600 lbs",,,,,,,,
2000,Super,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26-7'-6""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,"Minimum Front GAWR of 3,900 lbs",,,,,,,,
2000,Super,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26R-8'-0""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,"Minimum Front GAWR of 3,900 lbs",,,,,,,,
2000,SuperCrew,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26-7'-6""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2000,SuperCrew,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26R-8'-0""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2001,Regular,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26-7'-6""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,"Minimum Front GAWR of 3,600 lbs",,,,,,,,
2001,Regular,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26R-8'-0""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,"Minimum Front GAWR of 3,600 lbs",,,,,,,,
2001,Super,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26-7'-6""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,"Minimum Front GAWR of 3,900 lbs",,,,,,,,
2001,Super,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26R-8'-0""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,"Minimum Front GAWR of 3,900 lbs",,,,,,,,
2001,SuperCrew,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26-7'-6""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2001,SuperCrew,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26R-8'-0""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2002,Regular,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26-7'-6""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,"Minimum Front GAWR of 3,600 lbs",,,,,,,,
2002,Regular,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26R-8'-0""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,"Minimum Front GAWR of 3,600 lbs",,,,,,,,
2002,Super,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26-7'-6""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,"Minimum Front GAWR of 3,900 lbs",,,,,,,,
2002,Super,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26R-8'-0""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,"Minimum Front GAWR of 3,900 lbs",,,,,,,,
2002,SuperCrew,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26-7'-6""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2002,SuperCrew,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26R-8'-0""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2003,Regular,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26-7'-6""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,"Minimum Front GAWR of 3,600 lbs",,,,,,,,
2003,Regular,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26R-8'-0""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,"Minimum Front GAWR of 3,600 lbs",,,,,,,,
2003,Super,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26-7'-6""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,"Minimum Front GAWR of 3,900 lbs",,,,,,,,
2003,Super,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26R-8'-0""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,"Minimum Front GAWR of 3,900 lbs",,,,,,,,
2003,SuperCrew,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26-7'-6""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2003,SuperCrew,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26R-8'-0""",N/A,99100876,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2004,*,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26-7'-6""",N/A,99100871,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2004,*,*,*,4X4,*,*,*,*,*,HB5 - 99100792,"26R-8'-0""",N/A,99100871,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2004,*,*,*,4X4,*,*,*,*,*,H13 - 99100859,"26-7'-6""",N/A,99100871,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2004,*,*,*,4X4,*,*,*,*,*,H13 - 99100859,"26R-8'-0""",N/A,99100871,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2005,*,*,*,4X4,*,*,*,*,*,H13 - 99100859,"26-7'-6""",N/A,99100871,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2005,*,*,*,4X4,*,*,*,*,*,H13 - 99100859,"26R-8'-0""",N/A,99100871,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2006,*,*,*,4X4,*,*,*,*,*,H13 - 99100859,"26-7'-6""",N/A,99100871,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2006,*,*,*,4X4,*,*,*,*,*,H13 - 99100859,"26R-8'-0""",N/A,99100871,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2007,*,*,*,4X4,*,*,*,*,*,H13 - 99100859,"26-7'-6""",N/A,99100871,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2007,*,*,*,4X4,*,*,*,*,*,H13 - 99100859,"26R-8'-0""",N/A,99100871,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2008,*,*,*,4X4,*,*,*,*,*,H13 - 99100859,"26-7'-6""",N/A,99100871,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2008,*,*,*,4X4,*,*,*,*,*,H13 - 99100859,"26R-8'-0""",N/A,99100871,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2009,*,*,*,4X4,*,*,*,*,*,H13 - 99100859,"26-7'-6""",N/A,99101087,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2009,*,*,*,4X4,*,*,*,*,*,H13 - 99100859,"26R-8'-0""",N/A,99101087,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2010,*,*,*,4X4,*,*,*,*,*,H13 - 99100859,"26-7'-6""",N/A,99101087,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2010,*,*,*,4X4,*,*,*,*,*,H13 - 99100859,"26R-8'-0""",N/A,99101087,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2011,Regular,3.7L,126,4X4,3450,6650,*,8',*,H13 - 99100859,"26-7'-6""",N/A,99101087,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2011,Regular,5.0L,126,4X4,3600,6800,*,8',*,H13 - 99100859,"26-7'-6""",N/A,99101087,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2011,Regular,3.7L,145,4X4,3600,6950,*,8',*,H13 - 99100859,"26-7'-6""",N/A,99101087,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2011,Regular,5.0L,145,4X4,3750,7200,*,8',*,H13 - 99100859,"26-7'-6""",N/A,99101087,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2011,Regular,3.5L,145,4X4,3750,7200,*,8',*,H13 - 99100859,"26-7'-6""",N/A,99101087,99100890,May require major modifications to the air dam and /or fascia.,"The V6 EcoBoost requires an additional, Shim Plate Kit - 96114192 for the installation of the Mount Kit.",,,,,,,,
2011,Super,6.2L,133,4X4,3900,7000,*,6',SVT Raptor,H13 - 99100859,"26-7'-6""",N/A,99101087,99100890,May require major modifications to the air dam and /or fascia.,"Plow is not recommended, exceeds weight ratings.",,,,,,,,
2011,Super,3.7L,145,4X4,3750,6900,*,6.5',*,H13 - 99100859,"26-7'-6""",N/A,99101087,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2011,Super,5.0L,145,4X4,4050,7200,*,6.5',*,H13 - 99100859,"26-7'-6""",N/A,99101087,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2011,Super,3.5L,145,4X4,3900,7200,*,6.5',*,H13 - 99100859,"26-7'-6""",N/A,99101087,99100890,May require major modifications to the air dam and /or fascia.,"The V6 EcoBoost requires an additional, Shim Plate Kit - 96114192 for the installation of the Mount Kit.",,,,,,,,
2011,Super,3.5L,145,4X4,3900,7700,*,6.5',*,H13 - 99100859,"26-7'-6""",N/A,99101087,99100890,May require major modifications to the air dam and /or fascia.,"The V6 EcoBoost requires an additional, Shim Plate Kit - 96114192 for the installation of the Mount Kit.",,,,,,,,
2011,Super,5.0L,163,4X4,4050,8200,*,8',HD,H13 - 99100859,"26-7'-6""",N/A,99101087,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2011,Super,3.5L,163,4X4,4050,8200,*,8',HD,H13 - 99100859,"26-7'-6""",N/A,99101087,99100890,May require major modifications to the air dam and /or fascia.,"The V6 EcoBoost requires an additional, Shim Plate Kit - 96114192 for the installation of the Mount Kit.",,,,,,,,
2011,SuperCrew,5.0L,145,4X4,3900,7200,*,5.5',*,H13 - 99100859,"26-7'-6""",N/A,99101087,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2011,SuperCrew,3.5L,145,4X4,3900,7200,*,5.5',*,H13 - 99100859,"26-7'-6""",N/A,99101087,99100890,May require major modifications to the air dam and /or fascia.,"The V6 EcoBoost requires an additional, Shim Plate Kit - 96114192 for the installation of the Mount Kit.",,,,,,,,
2011,SuperCrew,6.2L,145,4X4,4000,7300,*,5.5',SVT Raptor,H13 - 99100859,"26-7'-6""",N/A,99101087,99100890,May require major modifications to the air dam and /or fascia.,"Plow is not recommended, exceeds weight ratings.",,,,,,,,
2011,SuperCrew,6.2L,145,4X4,3900,7700,*,5.5',*,H13 - 99100859,"26-7'-6""",N/A,99101087,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2011,SuperCrew,3.5L,145,4X4,3900,7650,*,5.5',*,H13 - 99100859,"26-7'-6""",N/A,99101087,99100890,May require major modifications to the air dam and /or fascia.,"The V6 EcoBoost requires an additional, Shim Plate Kit - 96114192 for the installation of the Mount Kit.",,,,,,,,
2011,SuperCrew,5.0L,157,4X4,4050,7350,*,6.5',*,H13 - 99100859,"26-7'-6""",N/A,99101087,99100890,May require major modifications to the air dam and /or fascia.,,,,,,,,,
2011,SuperCrew,3.5L,157,4X4,4050,7350,*,6.5',*,H13 - 99100859,"26-7'-6""",N/A,99101087,99100890,May require major modifications to the air dam and /or fascia.,"The V6 EcoBoost requires an additional, Shim Plate Kit - 96114192 for the installation of the Mount Kit.",,,,,,,,
2011,SuperCrew,3.5L,157,4X4,4050,7700,*,6.5',*,H13 - 99100859,"26-7'-6""",N/A,99101087,99100890,May require major modifications to the air dam and /or fascia.,"The V6 EcoBoost requires an additional, Shim Plate Kit - 96114192 for the installation of the Mount Kit.",,,,,,,,
